"slug","category","title","description","url"
"it-may-be-time-for-a-financial-checkup","lifestyle","It May Be Time for a Financial Checkup","It's never a bad time to speak with your financial professional about changes in your situation.","https://fast.wistia.net/embed/iframe/9qh411q1dl"
"acres-of-diamonds","lifestyle","Acres of Diamonds","In life it often happens that the answers to our most pressing questions are right in our own backyards.","https://fast.wistia.net/embed/iframe/w1wx6dfq80"
"surprises","lifestyle","Surprises","Making the most of surprises is a great reason to work with us.","https://fast.wistia.net/embed/iframe/nxxgu2izrv"
"coaches","lifestyle","Coaches","Coaches have helped you your whole life, in ways big and small. We'd like to be one of them.","https://fast.wistia.net/embed/iframe/a8lqthtqgh"
"keeping-up-with-the-joneses-video","lifestyle","Keeping Up with the Joneses","Lifestyle inflation can be the enemy of wealth building. What could happen if you invested instead of buying more stuff?","https://fast.wistia.net/embed/iframe/xzybj5zrpk"
"the-real-cost-of-a-vacation-home","lifestyle","The Real Cost of a Vacation Home","What if instead of buying that vacation home, you invested the money?","https://fast.wistia.net/embed/iframe/oteym6jko1"
"what-to-do-when-you-lose-your-wallet","lifestyle","What to Do When You Lose Your Wallet","Ever lost your wallet? Frustrating. Here's what you can do to keep yourself safe.","https://fast.wistia.net/embed/iframe/c21mcul9hk"
"suddenly-single-3-steps-to-take-now","lifestyle","Suddenly Single: 3 Steps to Take Now","Have you found yourself suddenly single? Here are 3 steps to take right now.","https://fast.wistia.net/embed/iframe/6iz4xd352o"
"the-richest-man-in-babylon","lifestyle","The Richest Man in Babylon","In good times and bad, consistently saving a percentage of your income is a sound financial practice.","https://fast.wistia.net/embed/iframe/peg4ig95r1"
"to-buy-or-not-to-buy","lifestyle","To Buy or Not to Buy","The decision whether to buy or rent a home may have long-term implications.","https://fast.wistia.net/embed/iframe/283bfead12"
"choosing-a-mortgage","lifestyle","Choosing a Mortgage","Selecting a mortgage isn't an easy process. Get a better understanding of how professionals make the right decisions.","https://fast.wistia.net/embed/iframe/efa0e6e7d4"
